len, freq, err, condition, pred
1, 0.867, 0.0991509885204082, balance<=2613, 0.111607142857143
1, 0.133, 0.121597222222222, balance>2613, 0.141666666666667
5, 0.001, 0, duration<=364.5 & duration>161.5 & pdays>199.5 & month_may<=0.5 & poutcome_success>0.5, 1
1, 0.192, 0.225473559915445, duration>364.5, 0.343390804597701
4, 0.001, 0.16, day<=4.5 & duration>364.5 & duration<=633.5 & poutcome_success>0.5, 0.8
1, 0.909, 0.0989757539408968, day>4.5, 0.111381618989653
2, 0.264, 0.0185119259522962, duration<=633.5 & contact_unknown>0.5, 0.0188679245283019
1, 0.248, 0.0748353296396684, balance<=56.5, 0.0814732142857143
1, 0.347, 0.0533731210615705, contact_cellular<=0.5, 0.0565737051792829
1, 0.949, 0.102045150608515, day<=29.5, 0.115351004951937
1, 0.051, 0.105766072441697, day>29.5, 0.120218579234973
1, 0.252, 0.102719105878732, day>21.5, 0.116228070175439
1, 0.917, 0.106533588653762, balance>-17, 0.121230398069964
1, 0.599, 0.0927593618825638, day>13.5, 0.103464203233256
3, 0.001, 0, duration<=364.5 & pdays<=47 & poutcome_success>0.5, 0
3, 0.004, 0, duration<=364.5 & duration>279.5 & poutcome_success>0.5, 1
1, 0.957, 0.0943629088843597, age<=59.5, 0.105491329479769
1, 0.043, 0.224317882971729, age>59.5, 0.33974358974359
3, 0.001, 0, age<=35 & duration>364.5 & pdays>372.5, 0
4, 0.001, 0, age>35 & duration>364.5 & duration<=635.5 & pdays>372.5, 1
2, 0, 0, contact_unknown>0.5 & month_apr>0.5, 1
1, 0.938, 0.0953321772650409, age<=58.5, 0.106721698113208
4, 0.001, 0, age>58.5 & duration>635.5 & duration<=847.5 & poutcome_unknown>0.5, 1
3, 0.001, 0, duration>847.5 & marital_married>0.5 & poutcome_success>0.5, 1
1, 0.977, 0.101710699226708, balance<=8839.5, 0.114916501556751
1, 0.552, 0.0691086111268145, housing_yes>0.5, 0.07468671679198
4, 0.006, 0.0433884297520661, duration>132.5 & pdays<=187.5 & pdays>177.5 & poutcome_success>0.5, 0.954545454545455
4, 0.002, 0, balance<=47.5 & duration>364.5 & duration<=605.5 & month_apr>0.5, 0
1, 0.762, 0.109851175737516, balance>47.5, 0.12563543936093
2, 0.507, 0.0357214181778029, duration<=605.5 & housing_yes>0.5, 0.0370976541189307
4, 0, 0, duration>364.5 & duration<=605.5 & pdays>369.5 & pdays<=374.5, 1
4, 0.001, 0, duration>364.5 & duration<=605.5 & pdays>369.5 & housing_yes>0.5, 1
3, 0.003, 0, duration>605.5 & job_technician<=0.5 & poutcome_success>0.5, 1
3, 0.001, 0, duration>364.5 & job_technician>0.5 & poutcome_success>0.5, 0
2, 0.025, 0.222222222222222, duration>953.5 & pdays<=314.5, 0.666666666666667
2, 0.002, 0.138888888888889, duration>953.5 & pdays>314.5, 0.166666666666667
2, 0.433, 0.0472989290524209, day>15 & duration<=364.5, 0.0497766432673899
4, 0.001, 0, day>8.5 & duration<=161.5 & month_feb>0.5 & poutcome_success>0.5, 1
1, 0.847, 0.0974360281591716, balance<=2338.5, 0.109405617243632
1, 0.153, 0.127373613627181, balance>2338.5, 0.149819494584838
1, 0.92, 0.0741049013511222, duration<=605.5, 0.0806015037593985
4, 0.001, 0, duration>364.5 & duration<=605.5 & pdays>374.5 & housing_yes>0.5, 1
2, 0.261, 0.017684169419707, duration<=605.5 & contact_unknown>0.5, 0.0180084745762712
4, 0, 0, duration>364.5 & duration<=605.5 & job_self_employed>0.5 & month_aug>0.5, 1
1, 0.283, 0.120948392256689, age<=33.5, 0.140762463343109
